run_id,space,perturbation,n_pred_cells,n_real_cells,pearson_delta,spearman_delta,rmse_delta,mae_delta,cosine_delta,uer20,uer50,uer100,sign_flip_rate,null_source,null_status,bns_status
S1_norman_l1,gears_raw,ELMSAN1+MAP2K3,484,484,-0.11734052002429962,-0.11709018157878369,0.06716756522655487,0.021024657413363457,-0.11690449714660645,0.0,0.0,0.0,0.6324110671936759,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,FOSB,502,502,0.14039714634418488,0.1570532882374952,0.052098020911216736,0.01574426144361496,0.146398663520813,0.0,0.0,0.02,0.31620553359683795,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,FOXA1,335,335,0.6412220001220703,0.2399331596157159,0.02959844097495079,0.010807149112224579,0.6415881514549255,0.0,0.0,0.01,0.11067193675889328,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,FOXA1+HOXB9,266,266,0.7334011197090149,0.3291374731126931,0.06431276351213455,0.022059334442019463,0.7334359884262085,0.0,0.0,0.0,0.09881422924901186,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,HK2,249,249,0.45011836290359497,0.106075927147398,0.040073320269584656,0.013923007994890213,0.44860267639160156,0.0,0.0,0.0,0.2885375494071146,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,HOXB9,256,256,0.5389373898506165,0.24336333003626467,0.03913896530866623,0.012737241573631763,0.5397979021072388,0.0,0.0,0.0,0.1857707509881423,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,HOXC13,151,151,0.756590723991394,0.3340798976171774,0.04955315962433815,0.01743892952799797,0.7560867667198181,0.0,0.0,0.0,0.09090909090909091,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,IGDCC3,223,223,0.6757100820541382,0.2165851949225048,0.03979092836380005,0.012921405956149101,0.6749537587165833,0.0,0.0,0.0,0.16996047430830039,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,IGDCC3+ZBTB25,99,99,0.7431843280792236,0.21416391276905417,0.06870047003030777,0.021534493193030357,0.7433307766914368,0.0,0.0,0.0,0.11462450592885376,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,KIF2C,270,270,0.29850512742996216,0.0941998550447905,0.03663930296897888,0.012425210326910019,0.2982083559036255,0.0,0.0,0.01,0.31225296442687744,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,KLF1+MAP2K6,222,222,0.17893360555171967,-0.041159715145977126,0.06453295797109604,0.020821087062358856,0.18023663759231567,0.0,0.02,0.02,0.5454545454545454,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,KMT2A,185,185,0.46179068088531494,0.1566182402002937,0.03204791620373726,0.011188437230885029,0.4619843363761902,0.0,0.0,0.0,0.22134387351778656,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,MAML2,508,508,-0.2130209058523178,-0.13586650024025476,0.04235691577196121,0.01462719775736332,-0.21364104747772217,0.0,0.0,0.02,0.6205533596837944,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,MAP4K3,299,299,0.6213201880455017,0.13424068115457016,0.028123926371335983,0.010652401484549046,0.6201906204223633,0.0,0.0,0.0,0.18181818181818182,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,OSR2,407,407,0.28528639674186707,0.24893286213522672,0.06190348416566849,0.018691686913371086,0.2911785840988159,0.0,0.0,0.0,0.2648221343873518,median_abs_raw_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,gears_raw,PTPN12+ZBTB25,257,257,0.66749107837677,0.1767887692884758,0.06724554300308228,0.018566951155662537,0.6652335524559021,0.0,0.0,0.0,0.1541501976284585,median_abs_raw_delta,sensitivity_only,UNVERIFIED
